id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description
1229,allergy,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,c1dtj3lC,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1230,"indigestion, arthritis",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,yBqbF00z,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1231,"asthma, kapha disorder",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,p3xW7Jgu,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1232,"acidity, skin rashes",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,a1m3kcPG,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1233,asthma,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,OKYZiNqi,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1234,joint pain,Vaidya Gopal Menon,Basti,vaidya.gopal.menon,Nqlgwnif,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1235,"migraine, allergy, nose block",Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,9FjAycJf,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1236,skin boils,Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,PQ45mU3L,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1237,"bronchitis, respiratory issue",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,XeBtd7p3,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1238,gout,Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,zwwW6VMC,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1239,allergy,Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,0xWxou6e,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1240,cough,Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,P5xiGBUK,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1241,blood impure,Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,eI49DKoE,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1242,"skin boils, blood impure, acne",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,9SMt0II5,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1243,cold,Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,sAINX2H1,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1244,"skin boils, gout",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,HRtItMhh,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1245,"migraine, allergy, sinus",Vaidya Priya Nair,Nasya,vaidya.priya.nair,iw2IpwWE,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1246,indigestion,Vaidya Gopal Menon,Basti,vaidya.gopal.menon,ZNDDFoHy,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1247,bronchitis,Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,Auk89er9,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
1248,"gout, blood impure, inflammation",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,elxksgcx,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1249,gastric problem,Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,it5g2ZhZ,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1250,respiratory issue,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,LoYe1TsL,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1251,liver problem,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,dNwKwZY4,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1252,"ulcer, blood impure, inflammation",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,vRyLYS1M,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1253,"allergy, skin rashes",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,uLe7fGW0,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1254,"indigestion, arthritis, constipation",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,OOVIQUh9,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1255,"back pain, joint pain, indigestion",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,ED4lbfvB,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1256,"joint pain, gastric problem",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,bzzD45Hr,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1257,"constipation, back pain, gastric problem",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,IwBTlTKV,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1258,arthritis,Vaidya Anjali Nair,Basti,vaidya.anjali.nair,fG0tDNjX,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1259,"allergy, psoriasis",Vaidya Seema Verma,Virechana,vaidya.seema.verma,SVmhKsMJ,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1260,migraine,Vaidya Priya Nair,Nasya,vaidya.priya.nair,16l8MLJJ,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1261,"psoriasis, acidity, skin rashes",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,Bea50DLr,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1262,"obesity, asthma",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,xrEsUkHM,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1263,"respiratory issue, asthma, cough",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,nJSsPHJo,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1264,"acne, blood impure, gout",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,CMTJGnOA,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1265,indigestion,Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,hscQjTzQ,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1266,sinus,Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,fCxkucpz,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1267,"eczema, allergy",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,BMg0UdR6,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1268,"sinus, headache, cold",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,55NViGuH,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1269,skin boils,Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,EuCpR0nF,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1270,pimples,Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,RM5N3TAn,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1271,"skin rashes, liver problem, psoriasis",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,WOpNOeXE,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1272,"cough, asthma, obesity",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,fUoTBjtO,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1273,"ulcer, acne",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,Zk8MrLmt,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1274,"nose block, sinus",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,kI2Kr1C4,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1275,"joint pain, arthritis, constipation",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,rIi82Nyp,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1276,indigestion,Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,tl9zrLMb,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1277,"asthma, respiratory issue, obesity",Vaidya Lata More,Vamana,vaidya.lata.more,rI3s9hdz,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1278,"respiratory issue, asthma",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,xk5jqOkI,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1279,"sinus, stuffy nose, migraine",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,awInE9sd,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1280,"kapha disorder, asthma",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,eiE5Ti2I,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1281,"ulcer, inflammation, skin boils",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,QVg8FF4A,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1282,"skin boils, gout, inflammation",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,XTtJn5HW,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1283,"joint pain, back pain",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,9pYvNQ7j,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1284,cough,Vaidya Lata More,Vamana,vaidya.lata.more,PKd91V55,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1285,"kapha disorder, respiratory issue, asthma",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,Yi4bOeFp,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1286,migraine,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,AHSOD68w,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1287,headache,Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,W0a2IJdq,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
